id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,type,stay_category
735485943377599960,Khlong Toei,13.72306,100.57028,Entire home/apt,2899,28,0,0,not booked,long-term
735486700364073184,Huai Khwang,13.75527,100.56658,Entire home/apt,1375,15,4,4,booked,long-term
735487511289377501,Huai Khwang,13.75673,100.56788,Entire home/apt,1375,15,2,2,booked,long-term
735489374448169268,Huai Khwang,13.75527,100.58478,Entire home/apt,1375,15,2,2,booked,long-term
735490491350529681,Huai Khwang,13.75402,100.58324,Entire home/apt,1375,15,0,0,not booked,long-term
735490906476847463,Huai Khwang,13.75383,100.58553,Entire home/apt,1375,15,1,1,booked,long-term
735491436814710798,Huai Khwang,13.75384,100.58359,Entire home/apt,1375,15,0,0,not booked,long-term
735493512229176991,Huai Khwang,13.75327,100.58517,Entire home/apt,1375,15,0,0,not booked,long-term
735494579068690906,Huai Khwang,13.75655,100.56807,Entire home/apt,1375,15,1,1,booked,long-term
735549829314418148,Sathon,13.70831,100.52633,Entire home/apt,1600,15,0,0,not booked,long-term
735571101928846032,Thon buri,13.71753,100.4755,Entire home/apt,800,5,0,0,not booked,medium-term
735734320226862975,Khlong Toei,13.7082703,100.5995127,Private room,800,28,0,0,not booked,long-term
735737420991372773,Phra Khanong,13.6974,100.59912,Private room,800,4,2,2,booked,medium-term
735747931190430739,Phra Khanong,13.6954,100.60252,Entire home/apt,950,30,1,1,booked,long-term
735832429543311704,Khlong Toei,13.71293,100.59195,Entire home/apt,1563,3,2,2,booked,short-term
735854663392135247,Phaya Thai,13.795284939165214,100.54893508584443,Private room,1400,1,1,1,booked,short-term
735945523982677620,Khlong Toei,13.71596,100.58567,Entire home/apt,1800,7,3,3,booked,medium-term
735952788329210460,Bang Kapi,13.760557071126044,100.62794778496028,Entire home/apt,750,28,0,0,not booked,long-term
735979523887975586,Khlong San,13.72066,100.50761,Entire home/apt,1075,29,1,1,booked,long-term
735992504031265147,Vadhana,13.742257588953288,100.560091920197,Private room,1700,1,1,1,booked,short-term
735997469419717628,Suanluang,13.7363,100.64423,Entire home/apt,1369,2,8,8,booked,short-term
736030908926202291,Khlong San,13.72167,100.49621,Entire home/apt,1950,14,0,0,not booked,medium-term
748356518314691306,Sathon,13.711271400506616,100.5201056851807,Entire home/apt,2221,1,13,13,booked,short-term
740829471414372604,Parthum Wan,13.74187,100.5501,Private room,3243,1,2,2,booked,short-term
740834824865366433,Vadhana,13.74227,100.56157,Private room,4120,1,2,2,booked,short-term
740835568362617915,Vadhana,13.74085,100.56001,Entire home/apt,4120,7,0,0,not booked,medium-term
740848569075585212,Vadhana,13.74382,100.55748,Entire home/apt,1824,2,0,0,not booked,short-term
740883628671552984,Vadhana,13.74304,100.55567,Entire home/apt,2097,2,4,4,booked,short-term
740888479373581427,Sai Mai,13.90091,100.63404,Entire home/apt,4000,5,1,1,booked,medium-term
740892559783984371,Vadhana,13.74353,100.55603,Entire home/apt,2194,2,3,3,booked,short-term
740899978775829065,Vadhana,13.74239,100.55754,Entire home/apt,2043,2,3,3,booked,short-term
740917233297035393,Khlong Toei,13.73564,100.55829,Entire home/apt,8743,1,0,0,not booked,short-term
740923482544773113,Vadhana,13.7437,100.55713,Entire home/apt,2043,2,3,3,booked,short-term
740924999324852623,Khlong Toei,13.73539,100.55848,Entire home/apt,8743,1,1,1,booked,short-term
740927989549317381,Khlong Toei,13.73526,100.55664,Entire home/apt,10200,1,0,0,not booked,short-term
740933080847463538,Khlong Toei,13.73534,100.55834,Private room,10200,1,0,0,not booked,short-term
740935737229221788,Khlong Toei,13.73347,100.55751,Entire home/apt,14571,1,0,0,not booked,short-term
740943642495066702,Khlong Toei,13.73506,100.55885,Entire home/apt,14571,1,0,0,not booked,short-term
740946745066185887,Khlong Toei,13.73572,100.557,Entire home/apt,12686,1,0,0,not booked,short-term
740948001938213425,Chom Thong,13.71412,100.46665,Entire home/apt,2000,30,0,0,not booked,long-term
740951809428219040,Khlong Toei,13.73505,100.55693,Entire home/apt,12686,1,0,0,not booked,short-term
741020966246857087,Bang Na,13.67145,100.60359,Entire home/apt,1000,2,2,2,booked,short-term
